language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_1"],true,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertPost",["insert_3"],true,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertModel",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["miscolor_insert"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteInsert",["no_balance_insert_1"],true,1.00,0.00,0.00,0.1023
"Rocq","RBT","BespokeGenerator","DeleteInsert",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_1"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertInsert",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertDelete",["insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertDelete",["insert_3"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertDelete",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertDelete",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertDelete",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteDelete",["delete_4"],true,1.00,0.00,0.00,0.0002
"Rocq","RBT","BespokeGenerator","DeleteDelete",["delete_5"],true,1.00,0.00,0.00,0.0010
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_balLeft"],true,0.00,0.00,0.00,0.5000
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_balRight"],true,0.10,0.00,0.00,0.4513
"Rocq","RBT","BespokeGenerator","DeleteDelete",["miscolor_join_2"],true,149.20,0.00,0.00,0.1562
"Rocq","RBT","BespokeGenerator","DeleteModel",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteModel",["delete_5"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeletePost",["delete_4"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeletePost",["delete_5"],true,1.00,0.00,0.00,0.0001
"Rocq","RBT","BespokeGenerator","InsertValid",["miscolor_insert"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertValid",["no_balance_insert_1"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","InsertValid",["no_balance_insert_2"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteValid",["miscolor_delete"],true,1.00,0.00,0.00,0.0000
"Rocq","RBT","BespokeGenerator","DeleteValid",["miscolor_balLeft"],true,1.00,0.00,0.00,0.0007
"Rocq","RBT","BespokeGenerator","DeleteValid",["miscolor_balRight"],true,1.00,0.00,0.00,0.0011
"Rocq","RBT","BespokeGenerator","DeleteValid",["miscolor_join_1"],true,1.00,0.00,0.00,0.0033
"Rocq","RBT","BespokeGenerator","DeleteValid",["miscolor_join_2"],true,1.00,0.00,0.00,0.0002
